score,rec,score_total,recommendation,rationale,url,titulo,ubicacion,precio,m2,habitaciones,baños,planta,ascensor,plataforma,tipo,estado,año
75.0,visit,75.0,worth_visit,,https://www.idealista.com/inmueble/110552754/,Piso en venta en Calle Lucía Van Dulken,"Girón - Las Delicias - Pacífico, Málaga",165000.0,51.0,2.0,1.0,Planta 1ª exterior sin ascensor,No,idealista,Piso,Segunda mano/buen estado,
75.0,visit,75.0,worth_visit,,https://www.idealista.com/inmueble/111219821/?utm_medium=socialmedia&utm_campaign=private_sendadtofriend&utm_source=notifications,Alquiler de estudio en Pasaje Mármoles,"Perchel norte, Málaga",600.0,27.0,,1.0,Planta 1ª exterior sin ascensor,No,idealista,Piso,Segunda mano/buen estado,
75.0,visit,75.0,worth_visit,,https://www.idealista.com/inmueble/111275746/?utm_medium=socialmedia&utm_campaign=private_sendadtofriend&utm_source=notifications,Piso en venta en Calle Mimbre,"Nuevo San Andrés - Dos Hermanas, Málaga",175000.0,56.0,3.0,1.0,Planta 4ª exterior sin ascensor,No,idealista,Piso,Segunda mano/buen estado,
75.0,visit,75.0,worth_visit,,https://www.idealista.com/inmueble/108149326/?utm_medium=socialmedia&utm_campaign=private_sendadtofriend&utm_source=notifications,Ático en venta en Torreblanca,"Plana Alta, Castellón",197000.0,96.0,3.0,2.0,Planta 3ª exterior con ascensor,Sí,idealista,Piso,Segunda mano/buen estado,2009.0
75.0,visit,75.0,worth_visit,,https://www.pisos.com/comprar/piso-puerta_blanca_almudena_mainake-62592036997_100200/?from_map=true,Piso en venta en Puerta Blanca-Almudena-Mainake,Puerta Blanca-Almudena-Mainake,195000.0,68.0,,,1ª planta,,pisos,Piso,En buen estado,
75.0,visit,75.0,worth_visit,,https://www.idealista.com/inmueble/111423160/?utm_medium=socialmedia&utm_campaign=private_sendadtofriend&utm_source=notifications,Piso en venta en Portada Alta-La Barriguilla,"Cruz de Humilladero, Málaga",149000.0,60.0,2.0,1.0,Planta 1ª exterior sin ascensor,No,idealista,Piso,Segunda mano/buen estado,
75.0,visit,75.0,worth_visit,,https://www.yaencontre.com/venta/piso/inmueble-69029-111321985,Venta de piso en Parque Ayala - Jardín de la Abadía - Huelín de 2 habitaciones con aire acondicionado,Parque Ayala - Jardín,199000.0,62.0,2.0,1.0,planta 3ª,No,yaencontre,Piso,buen estado,
75.0,visit,75.0,worth_visit,,https://www.idealista.com/inmueble/108850129/?utm_medium=socialmedia&utm_campaign=private_sendadtofriend&utm_source=notifications,Piso en venta en Cruz del Humilladero - Los Tilos,"Cruz de Humilladero, Málaga",225000.0,64.0,2.0,1.0,Planta 5ª exterior con ascensor,Sí,idealista,Piso,Segunda mano/buen estado,1970.0
75.0,visit,75.0,worth_visit,,https://www.idealista.com/inmueble/110912330/?utm_medium=socialmedia&utm_campaign=private_sendadtofriend&utm_source=notifications,Piso en venta en La Trinidad,"Centro, Málaga",230000.0,117.0,4.0,2.0,Planta 6ª exterior con ascensor,Sí,idealista,Piso,Segunda mano/buen estado,
75.0,visit,75.0,worth_visit,,https://www.idealista.com/inmueble/110677468/?utm_medium=socialmedia&utm_campaign=private_sendadtofriend&utm_source=notifications,Piso en venta en Calle Maestro Chapí,"Huelin, Málaga",239000.0,69.0,2.0,1.0,Planta 3ª exterior con ascensor,Sí,idealista,Piso,Segunda mano/para reformar,1967.0
75.0,visit,75.0,worth_visit,,https://www.yaencontre.com/venta/piso/inmueble-43586-106237493,Venta de piso en El Ejido - La Merced - La Victoria de 2 habitaciones con aire acondicionado y calefacción,El Ejido - La Merced - La Victoria,225000.0,54.0,2.0,1.0,planta 3ª,No,yaencontre,Piso,buen estado,1964.0
75.0,visit,75.0,worth_visit,,https://www.fotocasa.es/en/buy/home/malaga-capital/air-conditioning-heating-terrace-lift-not-furnished/189631313/d?stc=dis-sharead-sharead&utm_medium=social-share&utm_source=sharead&utm_campaign=sharead,"Apartments for sale in Calle María, Olletas - Sierra Blanquilla","Calle María, Olletas - Sierra Blanquilla",185000.0,41.0,1.0,1.0,1st floor,Sí,fotocasa,Piso,Buen estado,
75.0,visit,75.0,worth_visit,,https://www.idealista.com/inmueble/108128775/?utm_medium=socialmedia&utm_campaign=private_sendadtofriend&utm_source=notifications,Piso en venta en Olletas - Sierra Blanquilla,"Centro, Málaga",170000.0,69.0,2.0,1.0,,,idealista,Piso,Segunda mano/para reformar,
75.0,visit,75.0,worth_visit,,https://www.idealista.com/inmueble/110444210/?utm_medium=socialmedia&utm_campaign=private_sendadtofriend&utm_source=notifications,Piso en venta en Calle Genoveses,"La Florida - Parque norte, Málaga",113000.0,98.0,3.0,2.0,,,idealista,Piso,Segunda mano/buen estado,
75.0,visit,75.0,worth_visit,,https://www.fotocasa.es/en/buy/home/malaga-capital/lift/189610662/d?stc=dis-sharead-sharead&utm_medium=social-share&utm_source=sharead&utm_campaign=sharead,Flat for sale in Dos Hermanas - Nuevo San Andrés,Dos Hermanas - Nuevo San Andrés,212000.0,77.0,3.0,1.0,5th floor,Sí,fotocasa,Piso,,
75.0,visit,75.0,worth_visit,,https://www.fotocasa.es/en/buy/home/malaga-capital/lift-patio-not-furnished/189402103/d?stc=dis-sharead-sharead&utm_medium=social-share&utm_source=sharead&utm_campaign=sharead,"Ground floor for sale in Ingeniero la Cierva, La Luz - El Torcal","Ingeniero la Cierva, La Luz - El Torcal",190000.0,80.0,2.0,1.0,,Sí,fotocasa,Piso,,
75.0,visit,75.0,worth_visit,,https://www.fotocasa.es/en/buy/home/malaga-capital/lift-patio-not-furnished/189594894/d?stc=dis-sharead-sharead&utm_medium=social-share&utm_source=sharead&utm_campaign=sharead,"Flat for sale in Calle Santa Marta, 3, La Unión - Cruz de Humilladero - Los Tilos","Calle Santa Marta, 3, La Unión - Cruz de Humilladero - Los Tilos",203000.0,69.0,2.0,1.0,1st floor,Sí,fotocasa,Piso,,
75.0,visit,75.0,worth_visit,,https://www.idealista.com/inmueble/108668045/?utm_medium=socialmedia&utm_campaign=private_sendadtofriend&utm_source=notifications,"Piso en venta en Calle Gran Cardenal, 3","Calvario, Torremolinos",199000.0,75.0,2.0,2.0,Planta 3ª exterior con ascensor,Sí,idealista,Piso,Segunda mano/buen estado,
75.0,visit,75.0,worth_visit,,https://www.idealista.com/inmueble/108949215/?utm_medium=socialmedia&utm_campaign=private_sendadtofriend&utm_source=notifications,Chalet pareado en venta en El Molinillo - Capuchinos,"Centro, Málaga",254900.0,66.0,2.0,1.0,,,idealista,Casa,Segunda mano/para reformar,1932.0
75.0,visit,75.0,worth_visit,,https://www.idealista.com/inmueble/109702033/?utm_medium=socialmedia&utm_campaign=private_sendadtofriend&utm_source=notifications,"Chalet pareado en venta en Calle Luque, 4","Olletas - Sierra Blanquilla, Málaga",205000.0,74.0,3.0,1.0,,,idealista,Casa,Segunda mano/buen estado,
75.0,visit,75.0,worth_visit,,https://www.idealista.com/inmueble/109298876/?utm_medium=socialmedia&utm_campaign=private_sendadtofriend&utm_source=notifications,"Piso en venta en Calle Pedro de Deza, 7","Olletas - Sierra Blanquilla, Málaga",200000.0,74.0,2.0,1.0,Planta 3ª exterior con ascensor,Sí,idealista,Piso,Segunda mano/para reformar,
75.0,visit,75.0,worth_visit,,https://www.fotocasa.es/en/buy/home/malaga-capital/la-luz-el-torcal/189622475/d?stc=dis-sharead-sharead&utm_medium=social-share&utm_source=sharead&utm_campaign=sharead,Flat for sale in La Luz - El Torcal,La Luz - El Torcal,204000.0,50.0,2.0,1.0,1st floor,No,fotocasa,Piso,Buen estado,
75.0,visit,75.0,worth_visit,,https://www.idealista.com/inmueble/110555012/?utm_medium=socialmedia&utm_campaign=private_sendadtofriend&utm_source=notifications,"Piso en venta en Calle Jacobo Laan, 4","Girón - Las Delicias - Pacífico, Málaga",165000.0,50.0,2.0,1.0,Planta 2ª exterior sin ascensor,No,idealista,Piso,Segunda mano/buen estado,1952.0
75.0,visit,75.0,worth_visit,,https://www.idealista.com/inmueble/110629104/?utm_medium=socialmedia&utm_campaign=private_sendadtofriend&utm_source=notifications,Piso en venta en La Merced,"Centro, Málaga",165000.0,62.0,1.0,1.0,Planta 1ª exterior sin ascensor,No,idealista,Piso,Segunda mano/buen estado,1977.0
75.0,visit,75.0,worth_visit,,https://www.idealista.com/inmueble/110601794/,Piso en venta en Calle Eduardo Torres Roybon,"Cruz del Humilladero - Los Tilos, Málaga",185000.0,81.0,2.0,1.0,Planta 6ª sin ascensor,No,idealista,Piso,Segunda mano/buen estado,1973.0
74.0,visit,74.0,worth_visit,,https://www.yaencontre.com/venta/piso/inmueble-79849-111499338?utm_source=social&utm_medium=social&utm_campaign=share-android-detail-photo,Venta de piso en La Luz - El Torcal de 3 habitaciones con terraza y aire acondicionado,La Luz - El Torcal,255000.0,85.0,3.0,1.0,,Sí,yaencontre,Piso,buen estado,1974.0
